FILM, POSTING, CRITIC, AUDIENCE, GENRE 
The Fall Guy, Streaming May 21| 2024, 82%, 87%, action
Madame Web, Streaming Mar 15| 2024, 11%, 57%, action
War for the Planet of the Apes, Streaming Apr 1| 2019, 94%, 84%, action
The Ministry of Ungentlemanly Warfare, Streaming May 10| 2024, 70%, 93%, action
Godzilla x Kong: The New Empire, Streaming May 14| 2024, 54%, 91%, action
Civil War, Streaming May 24| 2024, 81%, 71%, action
The Iron Claw, Streaming Feb 13| 2024, 89%, 94%, action
Monkey Man, Streaming Apr 23| 2024, 89%, 84%, action
Mad Max: Fury Road, Streaming Aug 10| 2016, 97%, 86%, action
Rise of the Planet of the Apes, Streaming Nov 10| 2013, 82%, 77%, action
Madame Web, Streaming Mar 15| 2024, 11%, 57%, adventure
War for the Planet of the Apes, Streaming Apr 1| 2019, 94%, 84%, adventure
Godzilla x Kong: The New Empire, Streaming May 14| 2024, 54%, 91%, adventure
Mad Max: Fury Road, Streaming Aug 10| 2016, 97%, 86%, adventure
Rise of the Planet of the Apes, Streaming Nov 10| 2013, 82%, 77%, adventure
Dawn of the Planet of the Apes, Streaming Dec 1| 2015, 91%, 88%, adventure
Dune: Part Two, Streaming Apr 16| 2024, 92%, 95%, adventure
Ghostbusters: Frozen Empire, Streaming May 7| 2024, 43%, 83%, adventure
Sasquatch Sunset, Streaming May 14| 2024, 70%, 31%, adventure
Kung Fu Panda 4, Streaming Apr 9| 2024, 73%, 86%, adventure
Thelma the Unicorn, Streaming May 17| 2024, 69%, 64%, animation
Kung Fu Panda 4, Streaming Apr 9| 2024, 73%, 86%, animation
Wish, Streaming Jan 23| 2024, 48%, 81%, animation
Megamind vs. the Doom Syndicate, Streaming Mar 1| 2024, 9%, 6%, animation
Spider-Man: Across the Spider-Verse, Streaming Aug 8| 2023, 95%, 94%, animation
The Super Mario Bros. Movie, Streaming May 16| 2023, 59%, 95%, animation
Migration, Streaming Jan 23| 2024, 72%, 88%, animation
Spirited Away, Streaming Dec 19| 2019, 96%, 96%, animation
Inside Out, Streaming Nov 3| 2015, 98%, 89%, animation
Orion and the Dark, Streaming Feb 2| 2024, 91%, 62%, animation
Castle in the Sky, Streaming Dec 18| 2019, 96%, 91%, anime
Grave of the Fireflies, Streaming Mar 11| 2017, 100%, 95%, anime
Nausicaä of the Valley of the Wind, Streaming Dec 16| 2019, 90%, 91%, anime
The Tale of the Princess Kaguya, Streaming Dec 14| 2019, 100%, 90%, anime
Your Name, Streaming Jan 31| 2018, 98%, 94%, anime
Howl's Moving Castle, Streaming Dec 15| 2019, 87%, 93%, anime
Only Yesterday, Streaming Dec 17| 2019, 100%, 82%, anime
Kiki's Delivery Service, Streaming Dec 10| 2019, 98%, 89%, anime
My Neighbor Totoro, Streaming Dec 10| 2019, 93%, 94%, anime
The Secret World of Arrietty, Streaming Dec 16| 2019, 94%, 85%, anime
The Iron Claw, Streaming Feb 13| 2024, 89%, 94%, biography
Irena's Vow, Streaming May 14| 2024, 86%, 88%, biography
One Life, Streaming Apr 9| 2024, 91%, 95%, biography
Oppenheimer, Streaming Nov 21| 2023, 93%, 91%, biography
Bob Marley: One Love, Streaming Mar 19| 2024, 44%, 92%, biography
Napoleon, Streaming Jan 9| 2024, 57%, 59%, biography
The Boys in the Boat, Streaming Jan 16| 2024, 58%, 97%, biography
Scoop, Streaming Apr 5| 2024, 77%, 62%, biography
Amy, Streaming Jul 27| 2016, 96%, 87%, biography
Society of the Snow, Streaming Jan 4| 2024, 90%, 88%, biography
The Fall Guy, Streaming May 21| 2024, 82%, 87%, comedy
The Idea of You, Streaming May 2| 2024, 82%, 67%, comedy
The Ministry of Ungentlemanly Warfare, Streaming May 10| 2024, 70%, 93%, comedy
Unfrosted, Streaming May 3| 2024, 44%, 52%, comedy
Mother of the Bride, Streaming May 9| 2024, 13%, 15%, comedy
LaRoy, Texas, Streaming Apr 12| 2024, 100%, 62%, comedy
Anyone But You, Streaming Feb 20| 2024, 53%, 87%, comedy
Ghostbusters: Frozen Empire, Streaming May 7| 2024, 43%, 83%, comedy
The Coffee Table, Streaming May 14| 2024, 84%, 75%, comedy
Thelma the Unicorn, Streaming May 17| 2024, 69%, 64%, comedy
The Last Stop in Yuma County, Streaming May 10| 2024, 97%, 71%, crime
LaRoy, Texas, Streaming Apr 12| 2024, 100%, 62%, crime
Love Lies Bleeding, Streaming Apr 26| 2024, 94%, 82%, crime
The Gentlemen, Streaming Mar 24| 2020, 75%, 84%, crime
Anatomy of a Fall, Streaming Dec 22| 2023, 96%, 90%, crime
L.A. Confidential, Streaming Dec 12| 2015, 99%, 94%, crime
